,user_name,user_location,user_description,user_verified,date,text,hashtags,source,label
10,Deepika Dhawan,,Communication Scholar,FALSE,14-03-2022 11:26,"@airtelindia @airtelnews @Airtel_Presence My bill this month is unreasonable again. I didn't choose the 799 pack. Last month, it was corrected, why do I have to deal with the same problem again? Pls sort asap.#billissue #airtelthanks #airtel",,Twitter for Android,0
11,T. J. Ivinjack,Chicagoland,"Tweeting on #telecom, #tech, #fintech, marketing, business, #IoT, & #Japanese & #Chinese terms in these domains, and things in #Asia.",FALSE,14-03-2022 11:06,"#Bharti #Airtel partners with #India’s third-largest private bank #Axis Bank to develop a range of #fintech offerings via @mobileworldlive
https://t.co/5qZqbaHcob
#TTFM https://t.co/fhkHhR2bHZ","['Bharti', 'Airtel', 'India', 'Axis', 'fintech']",Buffer,neutral
12,Rajesh Kumar Mishra⏺️,,Blogger,FALSE,14-03-2022 11:04,"@airtelnews @airtelindia Please check the #service also...🤣🤣
No reply since 5 day's.
Lets see how many day's your #social networking team ignore my messages.
#Airtel
#MissedCallAlert
#airtelthanks
@Airtel_Presence
@DoT_India",['service'],Twitter for Android,0
13,Rajesh Kumar Mishra⏺️,,Blogger,FALSE,14-03-2022 11:01,"@airtelindia Please check the #service also...🤣🤣
No reply since 5 day's.
Lets see how many day's your #social networking team ignore my messages.
#Airtel
#MissedCallAlert
#airtelthanks
@Airtel_Presence
@DoT_India","['service', 'social']",Twitter for Android,0
14,Rajesh Kumar Mishra⏺️,,Blogger,FALSE,14-03-2022 10:52,"@airtelindia @shopsy_app Please check the #service also...🤣🤣
No reply since 5 day's.
Lets see how many day's your #social networking team ignore my messages.
#Airtel
#MissedCallAlert
#airtelthanks
@Airtel_Presence",['service'],Twitter for Android,0
15,Marg News,"New Delhi, India","#MargNews is a media & branding enterprise with a focus on News, Interviews, Events & other updates about Business & Economics. #India #Bharat #BusinessNews",FALSE,14-03-2022 10:42,"Airtel Wins The Innovative Mobile Service And Application Award At The GTI Awards
#airtel #wins #GTIAwards #InnovativeMobileService #Tech
https://t.co/QrYYW2cftD","['airtel', 'wins', 'GTIAwards']",Twitter Web App,1
16,Researching Global Stocks,,"Researching Stocks of the World: Long-Term Investments, Dividends, thinking the fundamentals and the macroeconomic and political context. DYOR",FALSE,14-03-2022 10:38,"🇺🇬Airtel Uganda plans to list a part of its equity by December 2022, NTV reported citing managing director Manoj Murali. The company renewed its operating licence in 2020 and one of the conditions was that it should list at least 20% of equity on the local bourse $AAF #airtel",,Twitter for Android,neutral
17,Mahendra Patidar,Indore,Titles don't interest me at all. Doing my best work is all that matters to me.,FALSE,14-03-2022 10:28,"@Airtel_Presence @airtelindia
Thanks for your great level services and I'm Today injoying with airtel network and internet #airtel 
No response #airtalindia but I'm planning switching airtel https://t.co/rK2oWVPWcR",,Twitter for Android,neutral
18,Prince Gautam,india,I talk like a baby and I never pay for drinks.,FALSE,14-03-2022 09:13,"Worst Experience with @Airtel_Presence It's been 6 months now and Airtel support team is not able to identify the issue !
@VittalGopal @airtelindia #Airtel #pathetic",,Twitter for Android,0
19,"Network Palava - Free, Cheap Data Daily.","Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",FALSE,14-03-2022 09:00,#Airtel 300 For 1.5GB 7days Code 2022 https://t.co/U3MCGwIxht #cheapdataplans,"['Airtel', 'cheapdataplans']",Revive Social App,neutral
20,Dilip Ramadas,Bangalore,"foodie, biker, traveler, Blogger, explorer, businessman, food follower, visionary, budding entrepreneur #organicfarming #kannadiga",FALSE,14-03-2022 08:45,"@airtelindia @Airtel_Presence Even after activating DND, I'm still getting harassing number of calls. 
especially from 9886982476 and 3335089890
#harassment #TRAI #Airtel @BlrCityPolice could you please tag the Cyber Police? @Harish__Patil @chandan_organic",,Twitter Web App,0
21,Abhay Kaushal,,,FALSE,14-03-2022 08:45,"#jio #👎👎
Speed = 2.18 kbps 
It actually always lie between 2 to 10 kbps 
Even a #google search takes more than 2 minutes to get opened .
Problem since last 3 years and even after 100 times of complaint.
#Airtel is far better than #jio  @JioCare @reliancejio @airtelindia https://t.co/mgMR0LFITu","['jio', 'google']",Twitter for Android,neutral
22,Shubham Nagarji,"Mumbai, India","Technology, Photography & Content Creation",FALSE,14-03-2022 08:38,"4G or 5G in 2022

#5G #4G #Jio #Airtel","['5G', '4G', 'Jio', 'Airtel']",Twitter for Android,neutral
23,Divahar,,Human,FALSE,14-03-2022 08:31,Unable to send and receive message from a Airtel number. #Airtel @airtelindia @Airtel_Presence,['Airtel'],Twitter for iPhone,0
24,Femi Kunmilogbon,Nigeria ,Receiving Training in UX Design,FALSE,14-03-2022 08:18,"Sign up on https://t.co/hoIbxt8HSI and purchase your internet data and recharge your airtime for all networks.

MTN 1GB - 250
MTN 3GB - N740
MTN 5GB - N1240

#MTN #Airtel
#Glo #9mobile 
#Connect",,Twitter for Android,neutral
25,𝚅𝚎𝚗𝚔𝚊𝚝 𝙶𝚅 ,"Chennai, India","|| Thalapathy Rasigan || King Kohli || Thalaivan Vadivelu 
|| Cinema || YouTuber || Editing & Photoshop || Photographer
|| IND 🇮🇳 CSK 🦁 ||",FALSE,14-03-2022 08:17,"#RadheShyam 

Yes She is! The #Airtel 4G Advertisement Girl #SashaChettri 😇🤙

#Prabhas - #PoojaHegde @hegdepooja - #RadhaKrishnakumar @director_radhaa 😎

#RadheShyamInCinemas https://t.co/KlrxBnmFK9","['RadheShyam', 'Airtel', 'SashaChettri', 'Prabhas', 'PoojaHegde']",Twitter for Android,neutral
26,Alok Gupta,"Hyderabad, India",Hi,FALSE,14-03-2022 08:09,"Really frustrated with hathway connection , speed slow alongwith  power issue at the main point. #hathway #Airtel @HathwayBrdband @aajtak @airtelindia","['hathway', 'Airtel']",Twitter for Android,0
27,Dhinakaran,Chennai,Long term learner.,FALSE,14-03-2022 07:55,@Airtel_Presence #airtel i did not receive any updates in DM. How do i talk to customer care executive?,['airtel'],Twitter for Android,neutral
28,Incredible Global Network,"Lagos, Nigeria",Your Staying connected remains our topmost priority 🔥🔥🔥,FALSE,14-03-2022 07:54,"Contact Us for your || Data • Tv Cable Subscription • Electricity bills • Daily Airtime • Sponsored Data and Airtime Give away • 08140079049

#dataislife #airtime #mtn #glo #Airtel #etisalat
 #electricity 
#cabletv #Dstv #Gotv #Startimes https://t.co/GdYBtfStl4",,Twitter for iPhone,neutral
29,"Network Palava - Free, Cheap Data Daily.","Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",FALSE,14-03-2022 07:29,How To Check #Airtel Night Plan Balance (Update 2022) https://t.co/aFdBi6hhko #cheapdataplans #howto,"['Airtel', 'cheapdataplans', 'howto']",Revive Social App,neutral
30,Pranay Prasun,"Bengaluru, India",IT Professional | Techno-freak | TA- Investor/Positional,FALSE,14-03-2022 07:02,"If i remember correctly most trolled stocks in 2021

#ITC 
#AIRTEL
#SUNPHARMA 

Long story short 👇
🎶Trolling aacha hai ji 🤞☺️","['ITC', 'AIRTEL', 'SUNPHARMA']",Twitter for Android,neutral
31,"Network Palava - Free, Cheap Data Daily.","Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",FALSE,14-03-2022 07:00,How To Link NIN To #Airtel (Update 2022) https://t.co/APiYa5NvFV #howto,"['Airtel', 'howto']",Revive Social App,neutral
32,Makarand Mane,kolhapur,"@WordPress Enthusiast, Works at @tycheventures #Service provider of @teamwpgenius @fenixhostindia
GTE of #mr @TranslateWP at https://t.co/iHZG5ZMhdc & I love it",FALSE,14-03-2022 06:58,"@Airtel_Presence @airtelindia 
@airtelcare @airtel_care 
Why my ticket 10024268424 is closed without my concern.
I am not happy.
the way ticket was handled.
the way ticket is closed without concern.

#airtel don't value customer concern &amp; time.",,Twitter Web App,neutral
33,Gulshan Borah,"Gurgaon, India","Human, Friend, Ameture Cook, Traveller.........tweeting in a personal capacity",FALSE,14-03-2022 06:58,Join the #CorporateTBPledge to mobilize your resources to support #NTEP #TBHDJ #corporate #corporatepartnerships #csrindia #godrej #bajajgroup #vodafone #airtel #uberlândia #ola #zomatoindia https://t.co/f5kfHfjiJy,"['CorporateTBPledge', 'NTEP', 'TBHDJ', 'corporate', 'corporatepartnerships']",LinkedIn,neutral
34,Ryan,,Man with no plan but goal to explore unknown,FALSE,14-03-2022 06:45,@Airtel_Presence @airtelindia @airtelnews failed next commitment as well. Thank you #airtel for trying our patience. #airtelthanks #airteldown https://t.co/xBIsgufZU6 https://t.co/9wEeDzXR1M,['airtel'],Twitter for Android,1
35,BHAVESH,"CHENNAI,INDIA",Chief @ INFINITY DIA,FALSE,14-03-2022 06:35,A request to surrender my broadband connection given to #Airtel as line not working for 8 days in the beginning of March22 #Airtel still charging  me usage bill #jio #TRAI can reasoning be done to the undue charges,['Airtel'],Twitter for Android,0
36,"Network Palava - Free, Cheap Data Daily.","Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",FALSE,14-03-2022 06:29,"New Http Injector Ehi File Download 2022 – Free, Unlimited Cheat Code https://t.co/Z5nZfhmpHk #freebrowsingcheats #airtel #mtn #9mobile","['freebrowsingcheats', 'airtel', 'mtn', '9mobile']",Revive Social App,neutral
37,Darshan Chaudhary,"Samastipur, India","Nothing Much,
Being an Engineer is Emotion because Journey Is more important than Sucess.",FALSE,14-03-2022 06:29,"#AirtelDown #Airtel 
@airtelindia @Airtel_Presence 
What's this shit?
Please resolve the issue!!!
Address:- 25.9951701, 85.6593610 https://t.co/jGmvcPX174","['AirtelDown', 'Airtel']",Twitter for Android,neutral
38,ishan bisht,,Senior SDET 2 in Data virtualisation domain,FALSE,14-03-2022 06:27,"#airtel i am getting bill on my e-mail every month, however after paying it online i am not getting any invoice with my name for bill payment on e-mail why is that?",['airtel'],Twitter for iPhone,neutral
39,🇮🇳Abhay Bhansali,Chennai,"Modi, Ramdev, Tendulkar,Wasim,bjp Chennai Annamalai,ARR. #landmarkforum apple, sadhugru NFAK,kumar Vishwas, pens, tamizh, hats off to Sonu. https://t.co/R48SdO4xvf",FALSE,14-03-2022 06:23,"The streets are full of broadband wires, The buildings are used without written permission, wires are left hanging on the roads make it look pathetic. Who is to take the accountability #airtel @airtelindia @HMOIndia @CMOTamilnadu",,Twitter for Mac,0
40,Telecom TALK,India,"#Telecom #5G #Mobile #DTH
 
PR Mails: news at telecomtalk dot info

Newsletter: https://t.co/DvJxkN3nf2…

For Aviation News Updates - @aviationscoop",TRUE,14-03-2022 06:14,"Bharti Airtel A-SON Solution Wins Prize at GTI Awards 2022
#Airtel @airtelindia 
https://t.co/JV0hf1dpl3",['Airtel'],Twitter Web App,1
41,Sapna Verma,,Get stock market latest update and research for better guidance. All twits only for education purpose.,FALSE,14-03-2022 05:46,"Where your Money Can double 

#Jsw
#Adani 
#tatamotors 
#TataElxsi 
#Tejas 
#Airtel 
#StockMarket 
#Nifty https://t.co/TxInRdgUCU","['Jsw', 'Adani', 'tatamotors', 'TataElxsi', 'Tejas', 'Airtel', 'StockMarket', 'Nifty']",Twitter Web App,neutral
42,Dhinakaran,Chennai,Long term learner.,FALSE,14-03-2022 05:15,#airtel broadband is disconnected. Request - 10024874312 . How do i contact customer care executive? Option is scrapped in IVR.,['airtel'],Twitter for Android,neutral
43,Nilim Das,"Guwahati, India","Movie buff, Foodie, Engineer, NIT-ian.",FALSE,14-03-2022 05:15,"@airtelindia @Airtel_Presence My father is facing issue with his airtel number. unable to make or receive call. Your so called customer care ""specialist"" Himanshu Verma unable to help and speaks very rudely. #airtel #airtelNoThanks",,Twitter Web App,0
44,Vineeth Rao,"Hyderabad, India",Working Professional.                       Masters in Finance from Osmania,FALSE,14-03-2022 05:09,"@airtelindia After long struggle following up with you guys still no response as there is no proper network in 506331 “Duggondi’s” used airtel device, which made me frustrated using of this network now no worries i have taken Broadband. Thanks for your temporary service #Airtel #waste #servic",,Twitter for iPhone,0
45,Vishal Maurya,,anything for nation,FALSE,14-03-2022 04:47,@airtelindia @Airtel_Presence @airtelbank what the hell is this? I have recharged my number twice and both the times transaction failed and balance deducted. @RBI please note these annomalies #Airtel #AirtelDown #AirtelAxisBankConnect #airtelthanks,,Twitter for Android,0
46,Hub Securities,"New Delhi, India",Hub Share & Investment Pvt. Ltd. | Investment management Company | Stock Advisor & Analyst | CEO @Bhaskar_Vlog,FALSE,14-03-2022 04:39,"Short Term Delivery call BUY BHARTIARTL @ 694-698.7 SL 688 TGT 714 : Jaynit Vora
@iiflsecurities @VijayKedia1 @Bhaskar_Vlog #StockMarket #daytrading #Airtel 
Follow us for more updates !",,Twitter for Android,neutral
47,Dev,"Gurgaon, India","Help needy person. Social Work #Husband #Father #Business #Counsultant Help in #PF withdrawal #PF kyc updation #Nation #Love 
🚩 जय श्री राम 🚩 ॐ हर हर महादेव ॐ",FALSE,14-03-2022 04:30,"See the speed of #Airtel #4G network in #Gurugram metro #City 
@airtelindia @Airtel_Presence @airtelnews @PMOIndia @AshwiniVaishnaw @TRAI @DoT_India https://t.co/VCkuOqYiMI","['Airtel', '4G', 'Gurugram', 'City']",Twitter for Android,1
48,Akshat Tiwari,,,FALSE,14-03-2022 04:19,"#airteldown
Airtel app not working and not giving any response i have just recharged with 666 and amount deducted from bank not reflecting in app and now app is not responding @Airtel_Presence @airtelindia @airtelnews
#Airtel #airtel5gready https://t.co/0ayfJFeWco",['airteldown'],Twitter for Android,neutral
49,#FreeSanjivBhat Nixon Augustin,,"Chairman Membership (@INCOverseas CA Chapter), Searching #INC supporters in #USA @INCIndia #IAmCongress, #FreeSanjivBhat #ProLife #EthicalTreatmentForAnimals",FALSE,14-03-2022 04:15,"@Airtel_Presence @airtelindia I made a plan change from Airtel Black. It was incomplete and the call got disconnected. Since then, I am unable to speak to a representative. No response to email or DM. Is #Airtel a fraud? #Airtel doesn't care. #AirtelFraud",,Twitter Web App,0
50,PraKash Kumar,"Bengaluru, India","An engineer by profession👷, a brother🤼, a son 🧔and a husband👫",FALSE,14-03-2022 04:01,"@Airtel_Presence Enough of checking the patience.What kind of tech cmpny is this,from last 7D you all are not able to resolve knowing that I require it to meet my deadline.Better if you can help me in moving out of Airtel black plan. #Airtel #airtelthanks #satkeertim @airtelindia",,Twitter for iPad,0
51,"Network Palava - Free, Cheap Data Daily.","Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",FALSE,14-03-2022 03:59,#Airtel Youtube Night Plan Code &amp; Bonus (19GB+ 2022) https://t.co/I8cqznWTiy #cheapdataplans,"['Airtel', 'cheapdataplans']",Revive Social App,neutral
52,GEPL Capital,India,"Achieve Financial Freedom by investing in equities, Mutual Funds, FDs & Stocks with GEPL Capital and Make Money Work for You!",FALSE,14-03-2022 03:30,"One of the most fundamental investment ideas is to have a well-diversified portfolio. 

Here are 3 stocks to watch in #InfraSector. 

#Reliance #Airtel https://t.co/RUz9yMDoA8",,Twitter Web App,neutral
53,Preeti,"Edison, NJ",#clientrelations #recruiting #accountmanagement,FALSE,14-03-2022 03:09,#airtel postpaid - I have no service on my sim - I have an international roaming package activated for emergencies - yet I have no service - what am I paying ? How do I reach your customer care ? #airtel #AirtelDown #AirtelPaymentsBank,['airtel'],Twitter for iPhone,0
54,Ryan,,Man with no plan but goal to explore unknown,FALSE,14-03-2022 02:49,"@Airtel_Presence @airtelindia @airtelnews internet services for the whole socitey of ivy estate was down yesterday and now it is still down with no update. I believe we have passed the TAT ot 2:30 am isn't it?
#AirtelDown #airtelthanks #airtel https://t.co/K6x7ex79HG",,Twitter for Android,0
55,ᴜᴍᴇꜱʜ ᴛᴏᴍᴀʀ,India,Digital Marketer / Web Application Developer /Freelancer,FALSE,14-03-2022 02:39,"Airtel have a #worst internet services in UP west....

#airtel","['worst', 'airtel']",Twitter for Android,0
56,Kevin Taylor,"Washington, DC",host of #withallduerespect and producer and ceo of loudsilence media,FALSE,14-03-2022 02:34,"@airtelnews you guys are scamming Africans, you had a sketchy deal with the government of Ghana and you guys have decided to ignore media questions. EMEKA OPARA is the head of lies at Airtel. #airtel is a scam",,Twitter for iPhone,0
57,Nandhu yadav,,,FALSE,14-03-2022 02:23,@airtelindia @airtelnews  it's been more than 48 but still my SR not closed by #Airtel Broad band. Mr. #vittalGopal &amp; #SunilBharathi Please Close SR. Many times called to Customer care but no use. https://t.co/1Xr6lHQma6,"['Airtel', 'vittalGopal']",Twitter for Android,0
58,Ravindra Karkihalli,"Bengaluru, India",Mind over Matter! |ಕನ್ನಡ & ಡಾ||ರಾಜ್ | ಪೂರ್ಣಚಂದ್ರ ತೇಜಸ್ವಿ|ಪರಿಸರ-ಕಾಡು| Physics|Traveling| S L ಭೈರಪ್ಪ | Tweets are personal,FALSE,14-03-2022 02:19,"Every month I have to remind @Airtel_Presence to send my Airtel Black bill to my email ID, ontime! They have dedicated customer care for Airtel Black users! Readymade answer is ""Will fix this issue effective next month"" #airtelthanks
@airtelindia @airtelnews #airtel
#customer",,Twitter for Android,0
59,IdeasMakeMarket.com,India,India's Finest Management Portal !,FALSE,14-03-2022 00:35,Brand Destruction – A Monster for marketer ! https://t.co/PM6XUcEADE #airtel #brands #vodafone,"['airtel', 'brands', 'vodafone']", IdeasMakeMarket.com,neutral
60,"Network Palava - Free, Cheap Data Daily.","Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",FALSE,13-03-2022 23:59,#Airtel RCCG Plan 2022 – How To Migrate &amp; Benefits (CUG) https://t.co/Wlc5p3f2O8 #tariffplans,"['Airtel', 'tariffplans']",Revive Social App,neutral
61,Simply Anand,Mumbai,I am who I am.,FALSE,13-03-2022 23:33,@Airtel_Presence @airtel_in this is at 5AM. #Airtel #Network is #pathetic https://t.co/WUZvJbJIJq,"['Airtel', 'Network', 'pathetic']",Twitter for Android,0
62,Ankit Tyagi ®️™️🇮🇳,"Ghaziabad, India",Director of MKT GROUP,FALSE,13-03-2022 22:26,"#airtel having soo many hidden charges to claim the extra money in consumer monthly bill. and no one listening you in Airtel. Feedback from one of Airtel black consumer. 
I Think @reliancejio  is better then @airtelindia 
@Airtel_Presence @airtelnews @DoT_India #Airtelblack",['airtel'],Twitter for iPhone,0
63,Ashish Malik,"Haryana, India",Roadster # Biking # Thrill  # Passion,FALSE,13-03-2022 19:06,"@airtelindia 

Kya kehne aapki service and Application k

Phone is showing no Internet…and aapka software is saying it’s working 

Bhai kiski sune 

#airtel #AirtelDown #airtelalwaysdown #InternetShutDown https://t.co/wHRHXdWuiN",,Twitter for iPhone,neutral
64,Suzzylicious,Nigeria,If you wanna know...follow me. Happy child 😊 proudly Aquarius ♒️ -Lawyer -Real estate 🏡 -Crypto merchant -Financial Advisor @Heirslife_ -IG@suzzy_licious,FALSE,13-03-2022 17:46,"Say “hi” if you’ve never accidentally recharged an insanely crazy amount when trying to do mobile top up. 

Then for those that aren’t in the above category, how did you deal with the excessive airtime in your sim? 

#Airtel #mtn #glo #9mobile",,Twitter for iPhone,neutral
65,💫 𝕍ℝ𝕌𝕊ℍ ✨ 45 💫,भारत 🇮🇳,"AKSHAY KUMAR , ROHIT SHARMA & CR7  DEVOTEE..❣️
Backup Id - @AkkiVrushab",FALSE,13-03-2022 17:34,"Time to Give Up @reliancejio ...Already Fed Up by No Network Since 12 Hrs.....
This Is 3rd Time in this Week... First Net Speed is Slowed and Now No Network 👍 Time to Go back to #Airtel
@JioCare",,Twitter for Android,1
66,Chiranjeev Mohanty,"BBSR, New Delhi, Tata Nagar",🇮🇳 | Worked at @nandighoshatv & @thesakala group | I’m real and I hope some of my followers are too | Views are purely personal | RTs are not endorsements.,FALSE,13-03-2022 17:17,"It's my final and last complaint tweet in @Airtel_Presence if the problem will not slove by the morning. I definitely switch to other postpaid network. All of my 3 postpaid connection will be port by tomorrow morning. #warning 
#airtel****",,Twitter for Android,0
67,BILLIMILLI,"Chicago, IL",BIllIONAIRE… creating to help. Ask me about my story. No hoe. Santa said…Antoinette Patrice Bickham 411 @billimilli94 is me.,FALSE,13-03-2022 15:51,I 711 turn the dial #Bitcoin #Airtime #Trending #Wordle266 #Coinbase #war #cryptocurrecy #earn #ATMs #1000xgem tennnnn HUT. Turn the dial to the left. 511 turn turn 11 45 10 8 turn 10 again. #36daysoftype #Airtel #ADA #ETH #Ethereum why 10? We stay at 10.,"['Bitcoin', 'Airtime', 'Trending', 'Wordle266', 'Coinbase', 'war', 'cryptocurrecy', 'earn', 'ATMs', '1000xgem']",Twitter for iPhone,neutral
68,SUNDA,"Kampala, Uganda",The Project for Operation & Maintenance for Rural Water Supply and Improved Hygiene and Sanitation in the Republic of Uganda,FALSE,13-03-2022 15:20,"Before and after Sunda installation in Bombo/Madudu.
#Sunda #jica #community #Airtel #MTNUGCARE #NbsLiveat9 #NTVNews #BBCBreakfast https://t.co/tW7mLGzjwG","['Sunda', 'jica', 'community', 'Airtel', 'MTNUGCARE', 'NbsLiveat9']",Twitter for Android,neutral
69,N Nitin,,,FALSE,13-03-2022 15:00,"@airtelindia @Airtel_Presence 
Is there any way to know by when will the broadband services be available in my area(pin-562162), coz I tried reaching support n all but hard luck..
#airtelbroadband
#airtelFiber
#airtelXStream
#airtel
#airtelIndia
#airtelPresence",,Twitter for Android,neutral
70,k D,India,,FALSE,13-03-2022 14:16,@airtelindia @Airtel_Presence @TARI @DoT_India Why am facing this every day… is there anyone #airtel #airteldth #airteltv https://t.co/afDc1hYCgV,"['airtel', 'airteldth']",Twitter for iPhone,neutral
71,Tabraiz,,"🎗تبريز👑     .   
We met for a reason🤟. Either you are a blessing or a lesson💫
It’s good to leave a footprint👣 wherever you go, so why don’t follow?",FALSE,13-03-2022 13:56,My internet is not working from last 3 days please help me as soon as possible @airtelindia #Airtel @Airtel_Presence @airtelnews,['Airtel'],Twitter for Android,0
72,AYYUB KHAN MOHAMMED,,,FALSE,13-03-2022 13:53,"#Airtel SIM replacement request submitted on 21st Feb at Attapur branch but till now not activated yet. On Airtel App it shows SIM replacement request not submitted. Attapur Airtel customer care staff say they cannot do anything, they are awaiting for reply from Head office.",['Airtel'],Twitter Web App,0
73,Vivek S Patwardhan,"Thane, India","Blogger, Photographer, Sketcher, Traveller, Translator, and Author. And curious about everything and everybody.",FALSE,13-03-2022 13:25,#Airtel internet drops again. Terrible service.,['Airtel'],Twitter for iPhone,0
74,Services Down,,Real-time status of your favorite services!,FALSE,13-03-2022 13:13,"🔔 #Airtel down?

🔗 Real-time status: https://t.co/aPf425A7v6

🔁 RETWEET if you are affected too.

#AirtelDown #AirtelOutage
(Possible problems since 2022-03-13 09:13:09)","['Airtel', 'AirtelDown']",ServicesDown,neutral
75,Aakash Verma,,"Freaky Traveller , simple living high thinking..",FALSE,13-03-2022 13:11,"Hello #Airtel 
Yar aap log batey bahut badi badi krte hoo kam se km network to theek kra lo yar aapko apne network ki #signalstrength ye samjho ki 19th floor me bhi aapke signals nhi aate haii voice call down hoti haiii plus even no connection of internet
Kindly sort this issue",['Airtel'],Twitter for Android,neutral
76,Evans kemoi,"Nairobi,Kenya",You gotta be in it to win it.  #TeamGGMU,FALSE,13-03-2022 13:10,"Wazito, Upgrade from Kabambe to a smartphone ujibambe na 50% extra data on @AIRTEL_KE Network. @KedogoIssa Dial *544*8# and enjoy 50% extra everytime you purchase data for the next 90days.
Dial *544*8# ujibambe.

#Airtel 
#UpgradeNaAirtel4G https://t.co/9UhFO6x6tR",,Twitter for Android,neutral
